,iRVEA_EH-metric,iNSGAIII_EH-metric,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_PMOD,iNSGAIII_PMOD,iRVEA_PMDA,iNSGAIII_PMDA,iRVEA_CCF,iNSGAIII_CCF,iRVEA_FE,iNSGAIII_FE
0,0.4353897071734954,0.5446945787716175,3.12412281043693,7.9018213291185,14.652581875539642,10.757862968400175,20.62716363934657,13.514103785064695,4.5,11.3,2328.8,2412.0
1,0.41908927559263576,0.34427824502096344,1.7397494756301122,4.277132493046864,12.997090607162516,8.584615806747758,16.651296253700494,10.651379804616804,3.9,11.2,3283.8,3612.0
2,0.3102871535484247,0.4421163167828692,2.318953438055923,4.212593430706939,10.160328239334946,9.290569882257738,13.902136939382547,9.72225282684154,4.8,9.4,4373.8,4812.0
3,0.3846511740504984,0.3314138688166891,1.9377128335761054,4.500361123701497,9.562666843415448,7.126320964792552,9.83376136115799,7.374500133062019,3.2,11.1,5328.6,6012.0
4,0.4094451595218903,0.35759515641405226,2.491333708247777,4.102063896217374,7.561129239602782,8.628972186891389,8.709022849448754,6.887053580566674,4.6,10.3,6358.0,7212.0
5,0.5958880174887509,0.48406444999023446,3.2638012603174884,3.9760478549846097,6.131809801033162,6.317446231942854,5.863308063327436,5.563448302656992,4.6,9.5,7741.8,8412.0
6,0.5283097560949825,0.45955193835901753,2.585706421935603,3.752738489733724,6.145578903673199,5.712421917368848,4.96223691730144,3.626517320429037,4.9,10.0,9141.8,9612.0
7,0.5909851412657601,0.4409835863813002,3.4850981305241158,4.00467684068524,5.522018613987126,5.225026511125624,3.2749477629731834,2.915547027372519,4.5,9.8,10541.8,10812.0
8,0.8305737214098083,0.8842131362925392,7.907058075398484,7.941495964660963,7.5099845798040334,10.921604241104168,0.6558425175120821,0.6212143183828348,10.6,11.4,2345.2,2412.0
9,0.773753346593087,0.6903217044745575,7.739505704453886,6.095022415827127,5.672378314231928,12.720041577138504,0.6402700756909573,0.6736965564540277,8.5,11.6,3377.2,3612.0
10,0.5707140847737029,0.7347436563402221,6.287190342385839,6.9678868006385475,3.927283728300785,8.783000336144713,0.8554484557497146,0.7299026480450642,3.7,10.8,3797.8,4812.0
11,0.7063451027932325,0.8836959634017996,7.532749889264613,7.658278187122276,5.511850279332072,13.023764602791427,0.7656331873457727,0.654951551672561,7.3,11.3,4434.4,6012.0
12,0.6736962357223073,0.6642938633891176,7.572964199102877,6.444466081612707,4.943796494919539,7.536868580580756,0.7884197862937313,0.7497161314212593,6.2,10.6,4975.4,7212.0
13,0.6998915837701958,0.8618812838028662,7.646656701919764,7.923821496620444,5.947396085632721,8.790925127531056,0.7604084467550606,0.6762052707347117,6.9,11.1,5840.6,8412.0
14,0.7358481624816058,0.8734620643713606,7.728464045708714,7.984267587843236,7.110847199917474,11.231479552510871,0.733800501795905,0.6664324256041148,9.5,11.1,6957.6,9612.0
15,0.7455565424556699,0.8851229874517292,7.7756702061591465,7.869854268734096,6.55119892883368,12.780856166154903,0.7248699624398306,0.6523530407703395,9.6,10.9,8208.4,10812.0
16,0.5664778057789325,0.35882425200951135,5.974725304124759,7.582228206084783,25.229592061602464,20.825454286320657,44.892341501536706,52.59777199332183,4.5,10.6,2345.8,2412.0
17,0.4700125095376853,0.2822810416704803,3.1306819961502046,3.8254196771218703,21.27500379474311,17.289124898951123,35.34700165346219,38.56282340406053,5.5,9.2,3522.2,3612.0
18,0.45058642993247966,0.4011388619270605,2.4909150895062995,2.676625776079023,20.24006957221119,16.26085481916685,27.485776358425603,31.45284178549698,3.4,6.6,4840.2,4812.0
19,0.6010632100152866,0.31670892214852897,2.5980109493942756,2.3670273482194526,15.202056523605032,12.042540939383866,20.516014279502702,21.965637870377698,4.5,7.8,6111.4,6012.0
20,0.47889303942213834,0.284384901392356,4.211189654641382,3.515806652253191,12.569233999155099,14.857290967371682,14.917943546411687,22.562387370122156,5.0,7.0,7270.2,7212.0
21,0.6381880143345079,0.2919119790274278,3.6626814330629585,3.1780053466012914,9.451513302322358,9.049002401249354,9.758883493977226,12.765706165997189,5.8,7.2,8787.4,8412.0
22,0.5904183782974856,0.2951343394610821,3.6166975873737512,3.0018400619360937,7.786649358723247,9.740636419558708,7.019185916292429,10.876850562317435,7.3,6.7,10378.2,9612.0
23,0.5807013062763,0.3263012353065723,4.3779243323947,2.446212046828509,6.831337417519288,8.59518713967843,5.227782957928317,8.817508808976612,8.9,5.8,11978.2,10812.0
24,0.6988904683766494,0.746328523868873,3.331817078125122,5.907904328885847,4.003005270528021,4.242075494411987,0.7973197001172458,0.7735362854205984,2.4,8.9,955.4,2412.0
25,0.9003277152698251,0.4728598762110868,3.7540442715366518,4.788997403263546,3.947940708625274,4.345922618515926,0.8794886276076112,0.8912812251051513,3.2,7.6,1395.0,3612.0
26,0.5426361012680884,0.3851224738488016,5.759368993929563,6.840851214964762,5.29012070396615,6.736053925602204,0.7745173975823263,0.7603137050824473,4.8,10.8,1929.2,4812.0
27,0.7576175347114646,0.5516486134019826,6.064003714203861,6.659944622197972,5.010552077357595,5.221306731307079,0.792905799302545,0.7798081242933315,5.0,9.4,2550.2,6012.0
28,0.5313552217651996,0.5655722216487148,6.190799654879809,6.890174450361622,5.2148233597536455,6.5780546916570755,0.7750349854491334,0.7517766227474809,4.4,9.6,3180.2,7212.0
29,0.5769517601053656,0.4740520205322859,6.2200223882953285,6.876435725968401,5.023850138911821,6.089020769462088,0.7719044066966093,0.7579068389343522,5.7,11.1,3900.2,8412.0
30,0.5804741201419527,0.5832359900412102,6.149637095181608,6.914266222503774,5.249636842476985,6.152660237920732,0.7711652018541233,0.7525656208036116,5.2,10.3,4620.2,9612.0
31,0.5328971846788194,0.47033364188852433,6.159171425781189,6.757701998216764,5.055645474916022,6.490039518173054,0.7713872121757632,0.7498313334418233,5.2,10.3,5340.2,10812.0
32,0.6655011735674556,0.5685503723848355,7.305894432128737,7.740682653117157,5.6576646425321915,8.257417396970522,0.7456146810399609,0.7146082094472315,5.3,11.9,2104.4,2412.0
33,0.8508093398564501,0.5381224946115509,8.458323317527732,7.187035542422217,6.358162412470029,7.530792028621204,0.7607050361185329,0.7566623898335243,4.5,11.8,2832.6,3612.0
34,0.8151818216773279,0.5599978908063674,6.834976829655029,6.734147435886195,7.13921325033932,7.364191370934717,0.7860831814394078,0.7569295032067224,1.9,11.4,3873.6,4812.0
35,0.9137881245219642,0.5589305756530697,7.2534229168129425,6.121842324563624,6.831670859147811,7.796351276612031,0.7856588301642524,0.755373184910797,1.8,11.4,5029.4,6012.0
36,0.7652182749273947,0.4246034928726298,7.917469791058956,6.165722330701382,6.2984571446443205,8.412023672886006,0.74784911422177,0.7427288287144516,4.2,10.2,6040.0,7212.0
37,0.8238383099447525,0.4948929953262281,7.910557989883155,7.014743375739374,6.6042276009878815,9.47371623088255,0.7384069316447899,0.7389522949132324,4.4,10.7,7134.2,8412.0
38,0.7625574841402786,0.45144932731853765,7.856689617607815,6.729407762455217,6.486533403261616,8.93615960138507,0.7466563896315612,0.7414244854640106,4.3,10.7,8234.2,9612.0
39,0.8056609322673053,0.4653026885645228,7.852412492270995,6.790993096575852,5.80934228971986,9.374909039500334,0.7429401799825696,0.740178153616918,4.4,10.4,9334.2,10812.0
40,0.4673169463391377,0.31676727545579586,11.424071261249336,14.565434443806485,4.41873080406289,4.467223728887483,2.943808263447201,2.833914005658708,3.5,9.7,2373.4,2412.0
41,0.4639105352254034,0.26723710531515116,13.695547145215581,16.75359989589732,3.5416374824771006,3.544316397837261,1.8957443182315654,1.5762732478492951,2.9,9.8,3835.4,3612.0
42,0.5047865793358273,0.2409635543391258,15.51539949205134,18.10885329583416,3.3353789892532797,3.084281312000236,1.2544456855056205,0.8977017356222434,4.9,10.1,5212.6,4812.0
43,0.42063864980470955,0.22406269959940966,15.46194221940478,16.37923732774741,3.4449036300908467,2.9780419447249806,1.2099178125860428,0.8111540702085673,3.0,10.7,6665.6,6012.0
44,0.38117231299340454,0.24223287860383066,2.007949867630126,2.4946659919547964,3.8241952573410813,3.496257604976222,1.4136251483628581,0.9950480119837849,2.5,10.3,7309.0,7212.0
45,0.3914127461462823,0.2366079201372596,1.8393568440347223,2.1222010565063347,3.948462811847456,3.522414791318886,2.1257088187830466,0.9852483612955896,2.3,9.5,8145.0,8412.0
46,0.5676525770026459,0.2418517343145965,1.8748930499080636,1.9828642547498885,3.7436698463977116,3.499724065412124,1.5133037537271243,0.9657952520894761,1.9,9.1,9187.2,9612.0
47,0.47506073146769784,0.27707745809358986,1.9769822664989127,1.988998325251839,3.7851408356908727,3.4911480423621435,1.819415429999556,0.9685201527107257,1.6,9.0,10274.4,10812.0
48,0.2006004836290804,0.07223987001278444,12.547117292318005,32.80395574520234,7.96162832476733,6.811233693233028,11.010590091578086,4.725040734850694,5.3,86.0,9405.0,17286.0
49,0.13646880127774888,0.07969588142578832,16.78241661706452,32.75433719866504,5.606974069364372,4.2008336646560585,5.513313593498129,1.9411566801239517,5.2,84.6,15646.0,25886.0
50,0.2877581483376848,0.3347750734873517,16.532072101004605,33.2119662099892,5.483819491353772,5.233749516025471,3.2311294765894245,1.1711771487818905,5.5,85.6,22102.8,34486.0
51,0.28349166801071574,0.42953194073557344,13.755760689821605,32.85859795947674,5.3855802476815064,6.247619541338634,1.7972908192304804,0.7070488658017858,13.1,83.0,28417.4,43086.0
52,0.3994770667527787,0.389811647744328,17.0674559122086,32.910505532957856,5.616488403334888,6.800184424178028,0.9916347945444095,0.540490756398069,15.4,82.0,33252.8,50052.0
53,0.5766756568468688,0.6536015957699619,24.26071840872725,31.512152799190517,15.876183005452344,13.85188723402502,0.36984954746849424,0.5416311445551238,36.0,76.1,42260.8,50052.0
54,0.9199800395676119,0.7382495967848846,29.643325529320673,28.079364115913695,42.42788254730104,16.82981702699477,0.19339680815875468,0.5410971540835069,61.7,67.4,49410.6,50052.0
55,0.9211608395656345,0.7348577164210395,29.641934929271223,28.052068693702306,44.630258228948534,16.82981702699477,0.1900732006405566,0.5410971540835069,66.6,66.8,50036.2,50052.0
56,0.8146990350027188,0.9079669171639944,32.1011878928518,32.13838336044863,13.42499959829485,26.52922433023083,0.5753059831909123,0.5345123684035257,36.2,86.0,11333.2,17286.0
57,0.8056567104959529,0.9002038437052017,31.491656282585417,32.1698658678048,14.615550496686495,24.219465443222212,0.6384351060934481,0.5926288055138222,39.9,85.6,16062.8,25886.0
58,0.806988553015394,0.9135772669072676,29.076293421516915,30.395422974439942,17.545417706241174,29.698011036648875,0.7264748347478334,0.6890149216635787,50.2,85.8,20056.4,34486.0
59,0.8008043096984269,0.9211708849901061,31.756393571839094,32.04793720848543,14.367488299393937,26.898499907761067,0.6434357841181378,0.586753469728271,42.6,85.6,26377.8,43086.0
60,0.7922621063021723,0.9187738527510622,27.909233949093,31.584848605857708,16.69361402281499,31.2493949356953,0.7321343524690089,0.6858459002948496,36.7,85.4,30141.8,50052.0
61,0.8325456754925078,0.9177005169631614,27.237447665218674,30.973482737293153,19.064570548634812,31.223715087983855,0.7090499867394517,0.6857191062172084,55.3,85.2,37985.4,50052.0
62,0.8594709733412774,0.9174533278595207,27.934129479595505,31.529632673629767,23.51793320749752,31.223715087983855,0.695969904725689,0.6857191062172084,69.8,85.2,44505.2,50052.0
63,0.8626678638076422,0.9174640455811582,27.779792565937743,31.618225173535215,24.397236168164298,31.22829821791809,0.6945173789463311,0.6857803822302391,72.7,85.2,47393.4,50052.0
64,0.39490281202965455,0.5204992462260367,16.014244854275343,32.96522259996394,16.48960564369309,20.6939523791304,24.655225658645758,20.86715235556442,4.2,82.6,8930.0,17286.0
65,0.5451501419718932,0.6999211180138636,16.751521647310646,32.587212237604646,11.50954206320815,16.13661961126764,13.76773131073963,11.341900099715875,1.9,80.2,15845.8,25886.0
66,0.3682148901054073,0.6131204918506541,6.8243111448275355,32.35807012089449,9.080556595964689,13.031317428176814,9.072206657683966,6.738937044411449,2.7,83.1,22515.6,34486.0
67,0.21285989355521506,0.5235385531422498,9.685766226289223,32.84394684013181,7.373605904161209,11.820825838772297,5.398960823269846,4.9596077936570095,7.3,82.4,28827.0,43086.0
68,0.4769566558306651,0.5902034410414438,14.149658411086884,32.21204879863376,5.83464863271039,8.533002011556437,2.8882233796793706,3.3289351733055654,10.3,77.5,32410.8,50052.0
69,0.6185438555303971,0.6434010901932943,24.26289492359536,32.253213947436166,6.405223105925731,9.265415796802552,1.4300634453980265,3.3289351733055654,23.0,75.4,41019.6,50052.0
70,0.7656812277964242,0.7438512459644704,26.12607296336882,31.956168000253633,13.812581832058417,12.159754622037568,0.7045905587730658,3.3289351733055654,37.3,73.6,48433.6,50052.0
71,0.7674616904983547,0.7413083987280743,28.698449466056427,31.95662631713925,14.949159641154257,12.159754622037568,0.6878881154231712,3.3289351733055654,44.3,73.6,50049.4,50052.0
72,0.6536383533981827,0.9041790636902494,23.389115556787537,31.054126815828806,11.283457994858068,25.561417479476667,0.8161622713101657,0.7079434237916439,27.2,86.0,3407.4,17286.0
73,0.6462467597211181,0.9018505292453384,25.68149319532146,30.598919562781834,10.765818592112042,25.340180191637867,0.7902431168803892,0.6637166179065367,27.1,85.9,7262.0,25886.0
74,0.23800757632871358,0.4765279368852539,47.8544746946866,59.54333411049159,6.581878246897371,11.892151981441291,0.8405512326423465,0.7868469267090201,27.2,85.7,8863.4,34486.0
75,0.24509760454060053,0.445817797451632,46.22132293250701,56.62228965490844,6.71064323046428,11.036670635403935,0.8371259505357633,0.78408959528887,27.8,85.4,12877.6,43086.0
76,0.24844742387909674,0.45095665795719053,46.33687616029758,57.074905068124906,6.692114828844417,11.036466444526146,0.8358562049854159,0.7844681405935742,31.6,84.5,17037.6,50052.0
77,0.24895247884184774,0.45097327771678053,46.23455529562765,57.0749171677459,6.747836296137153,11.036466444526146,0.8355095042507813,0.7844681405935742,29.3,84.5,21197.6,50052.0
78,0.6922301993458649,0.5114337913623537,20.31859656633403,20.43884964736455,10.501635900902203,8.620205679416918,0.6702249888687275,0.8865968037607415,30.3,84.5,24260.6,50052.0
79,0.5841520174970476,0.5093267348595926,12.84291075072357,12.144984347782621,9.449682773462637,9.0064869011613,0.6592547705097181,0.8865968037607415,31.9,84.5,25535.0,50052.0
80,0.43457884195581525,0.3507701082674423,8.330267329784435,11.829266798931117,4.750111287440231,7.535651458579326,1.3851192578307043,1.4004159590781078,15.6,76.3,4012.8,17286.0
81,0.3878542455764332,0.34832052117931694,8.897054656205349,11.791715880340192,4.820119547944851,7.253396807332,1.6703572305793597,1.500558885027917,16.5,74.8,6032.8,25886.0
82,0.37941880067810974,0.05197394393585775,154.68472103666588,166.75714962377916,2.6816650203388686,3.50505709585224,1.0259306405400703,1.2998119368147474,2.7,76.4,6539.6,34486.0
83,0.50738465972362,0.07829750955765048,124.03223950354895,129.65801034704515,2.587774224960296,4.196025742086007,0.9947072256219525,1.3720761761605802,2.5,72.2,9162.4,43086.0
84,0.39798861035154703,0.07018199784724073,179.92497248081833,160.733536315531,2.418583900948144,3.6778754372492095,0.9392292029026171,1.528776129714123,2.2,51.0,12566.4,50052.0
85,0.4059487364372438,0.07015584344558287,179.4865939251001,160.88024879764106,2.3912887916374763,3.6778754372492095,0.9536606352348199,1.528776129714123,2.0,51.0,17226.8,50052.0
86,0.48140813794336895,0.2395398031057331,7.797656581973274,7.907955644071483,3.5268541983234476,6.420722555954454,1.0100054063263735,1.6176676565623016,2.9,50.9,17943.6,50052.0
87,0.4542584249318198,0.24404968143233785,7.99730104850384,7.841035838218568,3.5613300090751236,6.420722555954454,1.0291506186436934,1.6176676565623016,2.7,50.9,18671.8,50052.0
88,0.5076489847178319,0.2529898695808087,15.953498290949074,12.134323916688718,6.163208308056062,6.7951954742939495,5.942598270420739,6.766200798791329,15.1,81.4,10754.2,17286.0
89,0.4726242074971925,0.24131693701381063,17.30455719487806,11.808383429856903,6.089052527933488,6.894322031253043,5.801303988011211,7.1240822044721055,14.0,80.7,18712.6,25886.0
90,0.3274454465282699,0.1661057825426437,38.6294921482031,43.69645013304845,3.896810123901684,4.828385149133942,1.9063318209619176,3.3724431114338813,14.9,65.1,22183.8,34486.0
91,0.4155501364772318,0.12888549108639696,43.173888877832205,44.13286717672827,3.2180013991172176,4.357894069078491,1.3510235661050787,2.6076828378117622,17.9,67.0,30390.6,43086.0
92,0.3979432201663601,0.10745932930669407,43.84974555333657,44.86598424269438,2.8126549824586804,4.230889381829765,1.1259672630293032,2.540016552317552,3.2,64.1,39257.8,50052.0
93,0.4677083030229957,0.09821339025804257,43.85371131037908,44.807369286389005,2.3751760062061047,4.230889381829765,0.8799544584215309,2.540016552317552,2.5,55.1,47243.4,50052.0
94,0.47111955525385757,0.14166012734262295,32.002669011434115,32.03880949958996,2.029251968496191,3.916990209552953,0.8752839419738448,2.537967089008376,2.6,55.1,49468.4,50052.0
95,0.47111955525385757,0.14166012734262295,32.002669011434115,32.03880949958996,2.029251968496191,3.916990209552953,0.8752839419738448,2.537967089008376,2.6,55.1,50053.4,50052.0
